dir,Entry,updated,nSub,SPSDD,year1,author1,doi1,Ref1,Title
D/D50,D5072,20110204,10,,2009,A.T.Rudchik+,10.1016/j.nuclphysa.2009.10.084,"Jour: Nuclear Physics, Section A, Vol.831, p.139 (2009)","8Li optical potential from 7Li(18O, 17O)8Li reaction analysis"
D/D50,D5073,20100326,8,,2008,V.I.Grantsev+,,"Jour: Yadernaya Fizika, Vol.71, Issue.10, p.1742 (2008)","Excitation of states of medium-mass nuclei in the region of giant resonances in inelastic deuteron scattering"
D/D50,D5074,20100506,2,,2009,A.N.Vodin+,,"Jour: Vopr.Atomn.Nauki i Tekhn.,Ser.Yad..Fiz..Issledo., Vol.2009, Issue.5/52, p.12 (2009)","Investigation of the astrophysical 36S(p,g)37Cl reaction at Ep=1975...2190 keV"
D/D50,D5075,20110207,9,,2009,A.T.Rudchik+,,"Jour: Yaderna Fizika ta Energetika, Vol.10, Issue.4/10, p.376 (2009)","Elastic and inelastic scattering of 18O ions on 12C nuclei"
D/D50,D5077,20101221,2,,2007,T.Mersmann+,,"Jour: Physical Review Letters, Vol.98, p.242301 (2007)","Precision study of the eta 3He system using the dp -> 3He eta reaction"
D/D50,D5078,20101111,6,,2010,O.O.Belyuskina+,,"Jour: Izv. Rossiiskoi Akademii Nauk, Ser.Fiz., Vol.74, p.798 (2010)","T(d, p)tn Reactions at a Deuteron Energy of 37 MeV"
D/D50,D5080,20110701,5,,2010,Yu.N.Pavlenko+,,"Jour: Yaderna Fizika ta Energetika, Vol.11, Issue.4, p.400 (2010)","Deuterons interaction with nuclei 208-Pb at sub-barrier energies"
D/D50,D5081,20110705,2,,2010,Yu.V.Kibkalo+,,"Conf: 3 Int.Conf.Cur.Prob.in Nucl.Phys.Atom.Ene.,Kyiv,2010, p.239 (2010)","Fragment mass distribution of 238-U fission by deuterons with energy of 37 MeV"
D/D50,D5082,20110822,19,,2010,V.V.Sotnikov+,,"Conf: 3 Int.Conf.Cur.Prob.in Nucl.Phys.Atom.Ene.,Kyiv,2010, p.250 (2010)","Experimental determination of the natPb(d,f), 209Bi(d,f), 209Bi(d,xnyp) nuclear reactions cross section at 1.6 GeV and 4 GeV deuteron beams"
D/D50,D5083,20110629,10,,2011,A.T.Rudchik+,10.1103/PhysRevC.83.024606,"Jour: Physical Review, Part C, Nuclear Physics, Vol.83, p.024606 (2011)","Comparison of the 7Li(18O,17N)8Be and 18O(d,3He)17N reactions"
D/D50,D5084,20110516,9,,2011,A.T.Rudchik+,10.1016/j.nuclphysa.2011.01.004,"Jour: Nuclear Physics, Section A, Vol.852, Issue.1, p.1 (2011)","Elastic and inelastic scattering of 13C + 18O versus 12C + 18O and 13C + 16O"
D/D50,D5085,20110629,9,,2011,A.T.Rudchik+,10.1140/epja/i2011-11050-3,"Jour: European Physical Journal A: Hadrons and Nuclei, Vol.47, Issue.4, p.50 (2011)","Elastic and inelastic scattering of 14C + 18O versus 12,13C + 18O and 14C + 16O"
